"dataset","nrow","distribution","n_sims","q10","q25","q50","q75","q90"
"anzg_ametryn_fresh",5,"lnorm",500,1.01209486457184e-15,4.89424306564347e-15,2.05267455268629e-14,5.38887769900714e-14,8.31325793717674e-14
"anzg_ametryn_fresh",5,"lnorm_lnorm",500,0.99999999999964,0.999999999999739,0.999999999999887,0.999999999999975,0.999999999999995
"anzg_ametryn_fresh",5,"weibull",500,8.67484571989451e-16,3.90785106567824e-15,2.04169287225512e-14,5.85445079973324e-14,7.96216970802294e-14
"anzg_ametryn_fresh",6,"gamma",500,0.0488121192849968,0.0978587729686416,0.178323331552317,0.274666885580216,0.364557723656738
"anzg_ametryn_fresh",6,"lgumbel",500,0.0607959149107549,0.102354694826801,0.197080632799228,0.302457062264796,0.445660887379207
"anzg_ametryn_fresh",6,"llogis",500,0.123710200165191,0.150861628426253,0.172075388864674,0.203717762161488,0.231538270295577
"anzg_ametryn_fresh",6,"lnorm",500,0.140597190637906,0.187195615127852,0.219272717062971,0.242237687142808,0.255849701081433
"anzg_ametryn_fresh",6,"lnorm_lnorm",500,0,0,0,0,0
"anzg_ametryn_fresh",6,"weibull",500,0.093316595281201,0.13897127326874,0.201396603680443,0.264172515787263,0.294029741003377
"anzg_ametryn_fresh",7,"gamma",500,0.0378806743989255,0.0776806437914339,0.158612536871669,0.287002077037423,0.36751378632637
"anzg_ametryn_fresh",7,"lgumbel",500,0.0452798257044464,0.0925425022074156,0.184367879562198,0.309928750644597,0.451434271090729
"anzg_ametryn_fresh",7,"llogis",500,0.119350028513031,0.145024938634273,0.174147558359084,0.20951008864667,0.24060331665015
"anzg_ametryn_fresh",7,"lnorm",500,0.126982927508101,0.179355628023109,0.224169003447165,0.252536142032007,0.269133928316888
"anzg_ametryn_fresh",7,"lnorm_lnorm",500,6.29888503076892e-15,8.47333469195516e-15,1.90968858606469e-14,8.70254931638392e-14,5.311871106305e-13
"anzg_ametryn_fresh",7,"weibull",500,0.0788221523105739,0.134875909816727,0.206357683042109,0.270858005649201,0.3068847766416
"anzg_ametryn_fresh",8,"gamma",500,0.0230521895390601,0.0662438364716743,0.149916145659846,0.273552263212827,0.377311568645747
"anzg_ametryn_fresh",8,"lgumbel",500,0.0394653278255867,0.0843203385884475,0.189362732700886,0.316712407563993,0.445104066777704
"anzg_ametryn_fresh",8,"llogis",500,0.117970557533658,0.147643810769239,0.178107635942567,0.220954416350113,0.26173719334288
"anzg_ametryn_fresh",8,"lnorm",500,0.132303551802582,0.189360349743544,0.232233541866675,0.26409151499959,0.284348164074386
"anzg_ametryn_fresh",8,"lnorm_lnorm",500,1.58020011509867e-08,2.12739475866082e-08,4.67575534872442e-08,1.88045266809726e-07,8.7793841512631e-07
"anzg_ametryn_fresh",8,"weibull",500,0.0764742437420582,0.12533184007224,0.196468993106823,0.274531792391544,0.315503193677164
"anzg_ametryn_fresh",10,"gamma",500,0.0108916203598106,0.0369787706644155,0.115600739365245,0.235785342840098,0.377127533730837
"anzg_ametryn_fresh",10,"lgumbel",500,0.0220174609745041,0.0690052040252422,0.185042063991839,0.32686679255307,0.48262177297434
"anzg_ametryn_fresh",10,"llogis",500,0.108230932194152,0.148006816907826,0.183713012868096,0.233755470126804,0.294349732563172
"anzg_ametryn_fresh",10,"lnorm",500,0.113515293779901,0.189590276373729,0.252124252634405,0.285639469668561,0.306712017629111
"anzg_ametryn_fresh",10,"lnorm_lnorm",500,2.34908804454101e-05,3.21783470060931e-05,6.47801111196462e-05,0.000288183378075578,0.00123120689413533
"anzg_ametryn_fresh",10,"weibull",500,0.0538747912422184,0.103728728447023,0.182586790106558,0.279727858284862,0.326518249504586
"anzg_ametryn_fresh",16,"gamma",500,0.000439450823195183,0.00508001448803207,0.0359573038318598,0.153646326639946,0.351319689282609
"anzg_ametryn_fresh",16,"lgumbel",500,0.00458418335148557,0.0289491628868995,0.12449698528983,0.324547075413556,0.534626234224197
"anzg_ametryn_fresh",16,"llogis",500,0.0883397304218966,0.145099081817926,0.208161162245283,0.285197441060127,0.385482835406806
"anzg_ametryn_fresh",16,"lnorm",500,0.0758733838043004,0.171564056533506,0.275807594094829,0.342239895158227,0.368976799283259
"anzg_ametryn_fresh",16,"lnorm_lnorm",500,0.001726375961807,0.00243303227666139,0.00493446396704476,0.014433512831888,0.0588985613241486
"anzg_ametryn_fresh",16,"weibull",500,0.0127087516119471,0.0547103988766301,0.15311022220058,0.293779805033857,0.374551242830721
"anzg_ametryn_fresh",26,"gamma",500,2.63315491546253e-06,0.000158368099504877,0.00432522529304609,0.0468604625706814,0.177388976297211
"anzg_ametryn_fresh",26,"lgumbel",500,0.000751139465865371,0.00696501259849071,0.0529948155030106,0.238725989097253,0.508462070743209
"anzg_ametryn_fresh",26,"llogis",500,0.0803651689269378,0.139702732760471,0.235456617402894,0.368792436677444,0.496278953983566
"anzg_ametryn_fresh",26,"lnorm",500,0.066557136206538,0.168791007086776,0.295820112655484,0.404008641780956,0.461487660079869
"anzg_ametryn_fresh",26,"lnorm_lnorm",500,0.00791530978666732,0.011350523485844,0.0214936682227657,0.0614468131118477,0.238309079114886
"anzg_ametryn_fresh",26,"weibull",500,0.0022233171824256,0.0168871676178042,0.092684985517595,0.270790189230952,0.427295505941511
"anzg_ammonia_fresh",5,"gamma",500,6.60113994603121e-16,4.24119894545169e-15,1.89422175616019e-14,5.1767265243467e-14,7.77009960477285e-14
"anzg_ammonia_fresh",5,"lgumbel",500,6.18736790698117e-16,4.90133401682926e-15,1.64011655597346e-14,4.28909211125355e-14,7.4809483790067e-14
"anzg_ammonia_fresh",5,"llogis",500,5.88933496787905e-16,4.49194826096139e-15,1.6982396704936e-14,4.35690958088404e-14,7.2019259857324e-14
"anzg_ammonia_fresh",5,"lnorm",500,7.04614172329589e-16,5.36703694299201e-15,2.0728291052853e-14,4.90549763830872e-14,8.16504723169631e-14
"anzg_ammonia_fresh",5,"lnorm_lnorm",500,0.999999999999639,0.999999999999759,0.999999999999897,0.999999999999973,0.999999999999996
"anzg_ammonia_fresh",5,"weibull",500,6.58216023548828e-16,4.34335424052039e-15,1.97817483348763e-14,5.42433579173075e-14,7.89601623752162e-14
"anzg_ammonia_fresh",6,"gamma",500,0.0772761766332749,0.141529813738227,0.209277210967222,0.253136218159657,0.291939835440788
"anzg_ammonia_fresh",6,"lgumbel",500,0.0665068213326641,0.111976220049114,0.184902740277401,0.279769388058028,0.431995208171028
"anzg_ammonia_fresh",6,"llogis",500,0.140115906573664,0.153769883983677,0.169890264733927,0.193263603413263,0.219756067211654
"anzg_ammonia_fresh",6,"lnorm",500,0.154380232067558,0.188978470698299,0.217040136764798,0.230926072409516,0.242814495527879
"anzg_ammonia_fresh",6,"lnorm_lnorm",500,0,0,0,0,0
"anzg_ammonia_fresh",6,"weibull",500,0.0866941355836897,0.142233860982939,0.203765806947787,0.266409232000833,0.322964663247945
"anzg_ammonia_fresh",7,"gamma",500,0.0535843274902479,0.12319689483857,0.207188357646538,0.258918053399083,0.308595871819784
"anzg_ammonia_fresh",7,"lgumbel",500,0.0509686179589888,0.0993073450039211,0.175766099669948,0.302645125491913,0.449031959825062
"anzg_ammonia_fresh",7,"llogis",500,0.133444186750325,0.149855681988028,0.168801365894738,0.199127805776359,0.227515141988129
"anzg_ammonia_fresh",7,"lnorm",500,0.139087815916601,0.187347781286345,0.218247921151334,0.238489496508271,0.252144733657485
"anzg_ammonia_fresh",7,"lnorm_lnorm",500,6.00542862291864e-15,8.90610944600199e-15,1.98500257130199e-14,8.52978143545997e-14,4.13810092395868e-13
"anzg_ammonia_fresh",7,"weibull",500,0.0697947343578239,0.128464312907149,0.203278654104922,0.270869994489115,0.328361840838456
"anzg_ammonia_fresh",8,"gamma",500,0.0447695524032176,0.102041610119302,0.202383592531625,0.264655178435337,0.317442519029612
"anzg_ammonia_fresh",8,"lgumbel",500,0.040377508386901,0.0854902804297948,0.176180872658496,0.337624545181675,0.465422181925214
"anzg_ammonia_fresh",8,"llogis",500,0.130459819534915,0.148789597913762,0.171264541706975,0.203930726556155,0.235162724473469
"anzg_ammonia_fresh",8,"lnorm",500,0.129541329173442,0.18297922703081,0.221670635692402,0.245429927646754,0.26225166179454
"anzg_ammonia_fresh",8,"lnorm_lnorm",500,1.54912593960535e-08,2.22963519473602e-08,4.90396364399099e-08,2.26733781715873e-07,1.09094221073246e-06
"anzg_ammonia_fresh",8,"weibull",500,0.0544946827778945,0.10925146715825,0.194721651173219,0.277204829066422,0.343442694031947
"anzg_ammonia_fresh",10,"gamma",500,0.0198618975670891,0.078961952073403,0.189533166397754,0.279641973029781,0.33215480418374
"anzg_ammonia_fresh",10,"lgumbel",500,0.0275571625067387,0.0625541084514823,0.173765882212624,0.357569131965465,0.531631767974137
"anzg_ammonia_fresh",10,"llogis",500,0.115253974930897,0.141511182775198,0.1702589449208,0.208987230636948,0.251730944867298
"anzg_ammonia_fresh",10,"lnorm",500,0.117760947067514,0.171342087863489,0.227704815713477,0.25868905510473,0.275786133916375
"anzg_ammonia_fresh",10,"lnorm_lnorm",500,2.26542607598907e-05,3.34304913448129e-05,6.94439122069343e-05,0.000269273233187344,0.00158228171200509
