"source_dist","nrow","proportion","n_sims","n_datasets","coverage","bias_median","bias_q25","bias_q75","width_median"
"lgumbel",7,0.1,7500,15,0.9628,0.0255656296238877,-0.325593965933647,0.564363129887915,4.76467803928181
"lgumbel",7,0.2,7500,15,0.931866666666667,0.164047398392212,-0.193499823857767,0.75481969667072,4.2863860031289
"lgumbel",8,0.01,7500,15,0.9944,-0.673314306888618,-0.875224992470644,-0.320403871624869,4.8572431401219
"lgumbel",8,0.05,7500,15,0.982266666666667,-0.162283156340607,-0.481967917121645,0.297179514584946,4.41927618389816
"lgumbel",8,0.1,7500,15,0.968133333333333,0.0104243053465727,-0.316572644289454,0.490723660852477,4.14552967132668
"lgumbel",8,0.2,7500,15,0.937733333333333,0.140061443857791,-0.190968514701424,0.672044229706745,3.81094443323703
"lgumbel",10,0.01,7500,15,0.9972,-0.633145336059927,-0.833640596492938,-0.328181590087278,3.86622461031158
"lgumbel",10,0.05,7500,15,0.988666666666667,-0.165517849952443,-0.446639761872999,0.225481128706396,3.51872040826378
"lgumbel",10,0.1,7500,15,0.975066666666667,-0.0143354950718319,-0.293517951726705,0.397141510175406,3.31514805380173
"lgumbel",10,0.2,7500,15,0.944933333333333,0.103709883652656,-0.179781444045237,0.552820228341671,3.10370519463451
"lgumbel",16,0.01,7500,15,0.996266666666667,-0.47822920509916,-0.709031810808314,-0.176628013193321,2.64509264442246
"lgumbel",16,0.05,7500,15,0.989733333333333,-0.120449564761288,-0.352083432092486,0.186400666216801,2.35374505893849
"lgumbel",16,0.1,7500,15,0.978666666666667,-0.0114934855919834,-0.235816654636125,0.285617258686221,2.19042563060162
"lgumbel",16,0.2,7500,15,0.946266666666667,0.0655333438656004,-0.156276916643609,0.387448530962358,2.02856432625535
"lgumbel",26,0.01,7500,15,0.993333333333333,-0.306345644935829,-0.544587480281181,-0.0337355030156188,1.97315016203404
"lgumbel",26,0.05,7500,15,0.9828,-0.0731537313225589,-0.267382445829859,0.161094845066396,1.64435787877303
"lgumbel",26,0.1,7500,15,0.968,-0.00618064849339192,-0.18805126397597,0.215641141549125,1.48898575696459
"lgumbel",26,0.2,7500,15,0.9428,0.0444778630639072,-0.134414904457982,0.272024751252941,1.3707423543836
"llogis",5,0.01,2500,5,0.416,4.87421959560968,1.14793934980084,16.004987261896,48.2377111856963
