"dataset","nrow","distribution","mean_weight","sd_weight","n_sims"
"anzg_ammonia_fresh",8,"llogis",0.178713445053302,0.0436774835506584,500
"anzg_ammonia_fresh",8,"lnorm",0.20940099718099,0.0495634077858874,500
"anzg_ammonia_fresh",8,"lnorm_lnorm",8.09998727982677e-06,7.82037237443625e-05,500
"anzg_ammonia_fresh",8,"weibull",0.19954225685016,0.111463342926523,500
"anzg_ammonia_fresh",10,"gamma",0.181884313212034,0.115538013688395,500
"anzg_ammonia_fresh",10,"lgumbel",0.230751392552706,0.201364077263067,500
"anzg_ammonia_fresh",10,"llogis",0.178994932195674,0.0559969446955789,500
"anzg_ammonia_fresh",10,"lnorm",0.210979581791244,0.0615614838129131,500
"anzg_ammonia_fresh",10,"lnorm_lnorm",0.00364080133255993,0.0283042604874899,500
"anzg_ammonia_fresh",10,"weibull",0.193748978915783,0.124137607465006,500
"anzg_ammonia_fresh",16,"gamma",0.147455115120105,0.13700016390284,500
"anzg_ammonia_fresh",16,"lgumbel",0.235630109766732,0.232877361294701,500
"anzg_ammonia_fresh",16,"llogis",0.201915009030423,0.109524297166347,500
"anzg_ammonia_fresh",16,"lnorm",0.220748913328644,0.0956041891953518,500
"anzg_ammonia_fresh",16,"lnorm_lnorm",0.0354090657247736,0.103659069205309,500
"anzg_ammonia_fresh",16,"weibull",0.158841787029323,0.139585192749495,500
"anzg_ammonia_fresh",26,"gamma",0.11042988990587,0.136630536610404,500
"anzg_ammonia_fresh",26,"lgumbel",0.198742805900274,0.242095987630605,500
"anzg_ammonia_fresh",26,"llogis",0.25058583302028,0.173508095646986,500
"anzg_ammonia_fresh",26,"lnorm",0.243350215914326,0.135881985538388,500
"anzg_ammonia_fresh",26,"lnorm_lnorm",0.0746410682526256,0.14464788251014,500
"anzg_ammonia_fresh",26,"weibull",0.122250187006624,0.139233225469303,500
"anzg_bisphenol_a_fresh",5,"gamma",0.00414386355715595,0.0343232787890188,500
"anzg_bisphenol_a_fresh",5,"lgumbel",0.00373758982330373,0.0369776310648578,500
"anzg_bisphenol_a_fresh",5,"llogis",0.00269015859194952,0.0201446192234876,500
"anzg_bisphenol_a_fresh",5,"lnorm",0.00300155537716466,0.0233138594829652,500
"anzg_bisphenol_a_fresh",5,"lnorm_lnorm",0.981999999999743,0.133084269715403,500
"anzg_bisphenol_a_fresh",5,"weibull",0.00442683265068279,0.0363701885606556,500
"anzg_bisphenol_a_fresh",6,"gamma",0.174039548826309,0.0985717134176641,500
"anzg_bisphenol_a_fresh",6,"lgumbel",0.241932694725409,0.137187830408313,500
"anzg_bisphenol_a_fresh",6,"llogis",0.180609031551754,0.0352326616419217,500
"anzg_bisphenol_a_fresh",6,"lnorm",0.21493491987428,0.0365293256880702,500
"anzg_bisphenol_a_fresh",6,"lnorm_lnorm",0,0,500
"anzg_bisphenol_a_fresh",6,"weibull",0.188483805022247,0.0777343098249905,500
"anzg_bisphenol_a_fresh",7,"gamma",0.165229950173425,0.107019653703255,500
"anzg_bisphenol_a_fresh",7,"lgumbel",0.246971674444204,0.151325759765129,500
"anzg_bisphenol_a_fresh",7,"llogis",0.182430776614843,0.0410575060073225,500
"anzg_bisphenol_a_fresh",7,"lnorm",0.219778279595742,0.0427118063551198,500
"anzg_bisphenol_a_fresh",7,"lnorm_lnorm",3.83464086505239e-12,3.65339209876659e-11,500
"anzg_bisphenol_a_fresh",7,"weibull",0.185589319167951,0.0856662568549558,500
"anzg_bisphenol_a_fresh",8,"gamma",0.157218905625972,0.112919502700352,500
"anzg_bisphenol_a_fresh",8,"lgumbel",0.252789623667223,0.163549981471491,500
"anzg_bisphenol_a_fresh",8,"llogis",0.183823164074958,0.0459828316508863,500
"anzg_bisphenol_a_fresh",8,"lnorm",0.225304385294912,0.0482932872550813,500
"anzg_bisphenol_a_fresh",8,"lnorm_lnorm",4.60763242331201e-06,5.48326006122305e-05,500
"anzg_bisphenol_a_fresh",8,"weibull",0.180859313704512,0.0892838387042497,500
"anzg_bisphenol_a_fresh",10,"gamma",0.142467579249389,0.120631711898657,500
"anzg_bisphenol_a_fresh",10,"lgumbel",0.248066581631482,0.17234478283687,500
"anzg_bisphenol_a_fresh",10,"llogis",0.190778988166987,0.0621809825003186,500
"anzg_bisphenol_a_fresh",10,"lnorm",0.239162686928307,0.0611284806723974,500
"anzg_bisphenol_a_fresh",10,"lnorm_lnorm",0.00358285419962312,0.0460765855585831,500
"anzg_bisphenol_a_fresh",10,"weibull",0.175941309824212,0.0972449810488133,500
"anzg_bisphenol_a_fresh",16,"gamma",0.100538958948898,0.124183323438827,500
"anzg_bisphenol_a_fresh",16,"lgumbel",0.235653837231262,0.193088088022856,500
"anzg_bisphenol_a_fresh",16,"llogis",0.204885390352032,0.0944103735982373,500
"anzg_bisphenol_a_fresh",16,"lnorm",0.270297455774584,0.0903840749513853,500
"anzg_bisphenol_a_fresh",16,"lnorm_lnorm",0.0364645506467265,0.108005677253173,500
"anzg_bisphenol_a_fresh",16,"weibull",0.152159807046497,0.115403144824739,500
"anzg_bisphenol_a_fresh",26,"gamma",0.0515258449611989,0.0938167124069928,500
"anzg_bisphenol_a_fresh",26,"lgumbel",0.201493248109416,0.208044327715456,500
"anzg_bisphenol_a_fresh",26,"llogis",0.219698034761042,0.126296113589378,500
"anzg_bisphenol_a_fresh",26,"lnorm",0.318714967373699,0.130691687553349,500
"anzg_bisphenol_a_fresh",26,"lnorm_lnorm",0.0919623186068027,0.157738465621621,500
"anzg_bisphenol_a_fresh",26,"weibull",0.116605586187842,0.121431218086658,500
"anzg_bisphenol_a_marine",5,"gamma",0.00813633090723066,0.0536305314653314,500
"anzg_bisphenol_a_marine",5,"lgumbel",0.0087607258633517,0.0655523537451465,500
"anzg_bisphenol_a_marine",5,"llogis",0.00482539573079139,0.0264551408622927,500
"anzg_bisphenol_a_marine",5,"lnorm",0.00463896497863741,0.0263088810084483,500
"anzg_bisphenol_a_marine",5,"lnorm_lnorm",0.965999999999778,0.181410638164534,500
"anzg_bisphenol_a_marine",5,"weibull",0.00763858252021066,0.0485518243641878,500
"anzg_bisphenol_a_marine",6,"gamma",0.190172924712923,0.121363908614522,500
"anzg_bisphenol_a_marine",6,"lgumbel",0.227561148038916,0.15500101284578,500
"anzg_bisphenol_a_marine",6,"llogis",0.178834238538888,0.03965753561786,500
"anzg_bisphenol_a_marine",6,"lnorm",0.205307613755075,0.046670148156803,500
"anzg_bisphenol_a_marine",6,"lnorm_lnorm",0,0,500
"anzg_bisphenol_a_marine",6,"weibull",0.198124074954198,0.0850265710799201,500
"anzg_bisphenol_a_marine",7,"gamma",0.175380902292284,0.132914856803802,500
"anzg_bisphenol_a_marine",7,"lgumbel",0.238956519633676,0.171809707132981,500
"anzg_bisphenol_a_marine",7,"llogis",0.18502286932629,0.0490921776811121,500
"anzg_bisphenol_a_marine",7,"lnorm",0.209880994927155,0.0547163242394894,500
"anzg_bisphenol_a_marine",7,"lnorm_lnorm",1.13394513305807e-12,8.26365118633225e-12,500
"anzg_bisphenol_a_marine",7,"weibull",0.190758713819461,0.094853653812047,500
"anzg_bisphenol_a_marine",8,"gamma",0.168314211313104,0.141352603046309,500
"anzg_bisphenol_a_marine",8,"lgumbel",0.235478744032161,0.186909146358821,500
"anzg_bisphenol_a_marine",8,"llogis",0.192748853243868,0.0602536480149773,500
"anzg_bisphenol_a_marine",8,"lnorm",0.213316929723576,0.0630025969732667,500
"anzg_bisphenol_a_marine",8,"lnorm_lnorm",7.29287269685858e-06,8.0473490652978e-05,500
"anzg_bisphenol_a_marine",8,"weibull",0.190133968814594,0.101885067264687,500
"anzg_bisphenol_a_marine",10,"gamma",0.1590115427309,0.158576915553144,500
"anzg_bisphenol_a_marine",10,"lgumbel",0.235722663569291,0.205533772636,500
