"name","step","seconds","bytes"
"sample_step_42_anzg_bisphenol_a_marine_66_TRUE","sample",0.018,11641
"sample_step_42_anzg_iron_marine_484_TRUE","sample",0.022,12535
"sample_step_42_anzg_ammonia_fresh_238_TRUE","sample",0.021,11995
"sample_step_42_ccme_glyphosate_346_TRUE","sample",0.018,11378
"sample_step_42_anzg_manganese_marine_247_TRUE","sample",0.026,12112
"sample_step_42_ccme_endosulfan_237_TRUE","sample",0.026,11423
"sample_step_42_ccme_glyphosate_289_TRUE","sample",0.023,12034
"sample_step_42_anzg_simazine_marine_466_TRUE","sample",0.018,12759
"sample_step_42_ccme_uranium_457_TRUE","sample",0.018,11274
"sample_step_42_anzg_fluoride_fresh_120_TRUE","sample",0.022,11543
"sample_step_42_anzg_bisphenol_a_fresh_287_TRUE","sample",0.022,12027
"sample_step_42_ccme_endosulfan_474_TRUE","sample",0.022,12548
"sample_step_42_anzg_iron_marine_184_TRUE","sample",0.02,11152
"sample_step_42_anzg_simazine_marine_42_TRUE","sample",0.017,12287
"sample_step_42_ccme_glyphosate_446_TRUE","sample",0.031,11272
"sample_step_42_ccme_endosulfan_337_TRUE","sample",0.018,11650
"sample_step_42_anzg_manganese_marine_147_TRUE","sample",0.021,10954
"sample_step_42_anzg_bisphenol_a_marine_21_TRUE","sample",0.025,11814
"sample_step_42_ccme_glyphosate_389_TRUE","sample",0.032,11309
"sample_step_42_anzg_simazine_marine_366_TRUE","sample",0.019,12171
"sample_step_42_ccme_uranium_357_TRUE","sample",0.018,11844
"sample_step_42_anzg_dioxins_fresh_182_TRUE","sample",0.021,12747
"sample_step_42_anzg_manganese_marine_286_TRUE","sample",0.032,11229
"sample_step_42_anzg_fluoride_fresh_220_TRUE","sample",0.029,12749
"sample_step_42_anzg_bisphenol_a_fresh_187_TRUE","sample",0.019,11918
"sample_step_42_anzg_metsulfuron_methyl_fresh_257_TRUE","sample",0.021,12803
"sample_step_42_anzg_manganese_marine_10_TRUE","sample",0.024,12605
"sample_step_42_anzg_iron_marine_284_TRUE","sample",0.03,11074
"sample_step_42_ccme_silver_437_TRUE","sample",0.02,12052
"sample_step_42_anzg_diuron_marine_75_TRUE","sample",0.03,11074
"sample_step_42_ccme_endosulfan_437_TRUE","sample",0.02,12698
"sample_step_42_anzg_manganese_marine_447_TRUE","sample",0.019,11078
"sample_step_42_anzg_simazine_marine_55_TRUE","sample",0.043,11571
"sample_step_42_ccme_glyphosate_489_TRUE","sample",0.029,12734
"sample_step_42_anzg_simazine_marine_266_TRUE","sample",0.025,12325
"sample_step_42_anzg_dioxins_fresh_282_TRUE","sample",0.019,12016
"sample_step_42_ccme_uranium_257_TRUE","sample",0.018,11323
"sample_step_42_anzg_manganese_marine_186_TRUE","sample",0.035,11538
"sample_step_42_anzg_iron_marine_1_TRUE","sample",0.031,11309
"sample_step_42_anzg_bisphenol_a_fresh_487_TRUE","sample",0.019,12539
"sample_step_42_anzg_metsulfuron_methyl_fresh_157_TRUE","sample",0.02,12092
"sample_step_42_anzg_ametryn_fresh_313_TRUE","sample",0.019,12741
"sample_step_42_ccme_silver_337_TRUE","sample",0.031,12714
"sample_step_42_ccme_boron_73_TRUE","sample",0.022,12704
"sample_step_42_anzg_metsulfuron_methyl_fresh_294_TRUE","sample",0.038,12806
"sample_step_42_anzg_manganese_marine_347_TRUE","sample",0.019,12764
"sample_step_42_anzg_bisphenol_a_fresh_201_TRUE","sample",0.018,11272
"sample_step_42_anzg_simazine_marine_166_TRUE","sample",0.021,10913
"sample_step_42_anzg_perfluorooctane_sulfonate_pfos_fresh_76_TRUE","sample",0.031,12862
"sample_step_42_ccme_uranium_157_TRUE","sample",0.018,12608
"sample_step_42_anzg_dioxins_fresh_382_TRUE","sample",0.021,12741
"sample_step_42_anzg_manganese_marine_486_TRUE","sample",0.019,12766
"sample_step_42_anzg_simazine_marine_98_TRUE","sample",0.025,12506
"sample_step_42_anzg_bisphenol_a_fresh_387_TRUE","sample",0.021,12769
"sample_step_42_anzg_ametryn_fresh_413_TRUE","sample",0.016,12749
"sample_step_42_anzg_metsulfuron_methyl_fresh_457_TRUE","sample",0.036,12423
"sample_step_42_ccme_silver_237_TRUE","sample",0.019,12384
"sample_step_42_anzg_ametryn_fresh_356_TRUE","sample",0.023,12747
"sample_step_42_anzg_metsulfuron_methyl_fresh_194_TRUE","sample",0.022,12797
"sample_step_42_anzg_zinc_marine_78_TRUE","sample",0.018,11364
"sample_step_42_anzg_bisphenol_a_fresh_101_TRUE","sample",0.022,11398
"sample_step_42_anzg_dioxins_fresh_482_TRUE","sample",0.02,12234
"sample_step_42_anzg_manganese_marine_386_TRUE","sample",0.021,11510
"sample_step_42_anzg_metsulfuron_methyl_fresh_357_TRUE","sample",0.025,11451
"sample_step_42_anzg_ametryn_fresh_113_TRUE","sample",0.017,12257
"sample_step_42_anzg_diuron_fresh_89_TRUE","sample",0.035,12657
"sample_step_42_anzg_sulfometuron_methyl_fresh_82_TRUE","sample",0.018,11577
"sample_step_42_ccme_silver_137_TRUE","sample",0.022,11764
"sample_step_42_anzg_fipronil_fresh_22_TRUE","sample",0.021,12188
"sample_step_42_anzg_metsulfuron_methyl_fresh_494_TRUE","sample",0.022,12517
"sample_step_42_anzg_bisphenol_a_fresh_401_TRUE","sample",0.019,12769
"sample_step_42_anzg_ametryn_fresh_456_TRUE","sample",0.017,12660
"sample_step_42_anzg_ametryn_fresh_399_TRUE","sample",0.034,12256
"sample_step_42_anzg_ametryn_fresh_213_TRUE","sample",0.025,11401
"sample_step_42_anzg_manganese_marine_69_TRUE","sample",0.036,11551
"sample_step_42_anzg_mcpa_fresh_195_TRUE","sample",0.021,11960
"sample_step_42_ccme_boron_260_TRUE","sample",0.018,12548
"sample_step_42_anzg_metsulfuron_methyl_fresh_394_TRUE","sample",0.031,12802
"sample_step_42_anzg_diuron_fresh_48_TRUE","sample",0.022,12739
"sample_step_42_anzg_ametryn_fresh_156_TRUE","sample",0.019,12712
"sample_step_42_anzg_sulfometuron_methyl_fresh_35_TRUE","sample",0.022,12806
"sample_step_42_anzg_metolachlor_fresh_335_TRUE","sample",0.032,11248
"sample_step_42_anzg_bisphenol_a_fresh_301_TRUE","sample",0.017,11024
"sample_step_42_anzg_ametryn_fresh_499_TRUE","sample",0.021,12749
"sample_step_42_anzg_nitrate_soft_fresh_475_TRUE","sample",0.033,12774
"sample_step_42_anzg_chlorine_marine_176_TRUE","sample",0.032,11105
"sample_step_42_ccme_chloride_126_TRUE","sample",0.036,11352
"sample_step_42_anzg_bisphenol_a_marine_109_TRUE","sample",0.02,11375
"sample_step_42_anzg_mcpa_fresh_295_TRUE","sample",0.019,11268
"sample_step_42_ccme_boron_160_TRUE","sample",0.032,11717
"sample_step_42_anzg_ametryn_fresh_256_TRUE","sample",0.03,12749
"sample_step_42_anzg_metolachlor_fresh_435_TRUE","sample",0.022,11575
"sample_step_42_anzg_ametryn_fresh_199_TRUE","sample",0.019,12749
"sample_step_42_anzg_metolachlor_fresh_300_TRUE","sample",0.02,11771
"sample_step_42_anzg_nitrate_soft_fresh_375_TRUE","sample",0.032,11598
"sample_step_42_anzg_chlorine_marine_276_TRUE","sample",0.031,11321
"sample_step_42_anzg_bisphenol_a_fresh_10_TRUE","sample",0.032,12291
"sample_step_42_anzg_bisphenol_a_marine_209_TRUE","sample",0.023,12774
"sample_step_42_ccme_chloride_226_TRUE","sample",0.036,10971
"sample_step_42_anzg_mcpa_fresh_395_TRUE","sample",0.031,11278
"sample_step_42_ccme_boron_460_TRUE","sample",0.022,11282
"sample_step_42_anzg_chlorine_marine_40_TRUE","sample",0.019,12753
